first_name,last_name,email,rental_count,total_paid,avg_payment_per_rental
BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,28,159.72,5.70
DON,BONE,DON.BONE@sakilacustomer.org,25,133.75,5.35
KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,22,116.78,5.31
LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,32,168.68,5.27
LONNIE,TIRADO,LONNIE.TIRADO@sakilacustomer.org,18,94.82,5.27
PAUL,TROUT,PAUL.TROUT@sakilacustomer.org,23,120.77,5.25
RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,24,125.76,5.24
LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,26,135.74,5.22
MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,26,135.74,5.22
LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,22,113.78,5.17
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,34,174.66,5.14
MAE,FLETCHER,MAE.FLETCHER@sakilacustomer.org,31,158.69,5.12
MARSHALL,THORN,MARSHALL.THORN@sakilacustomer.org,23,117.77,5.12
MILTON,HOWLAND,MILTON.HOWLAND@sakilacustomer.org,25,127.75,5.11
EDWIN,BURK,EDWIN.BURK@sakilacustomer.org,23,116.77,5.08
ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,33,167.67,5.08
JOHNNIE,CHISHOLM,JOHNNIE.CHISHOLM@sakilacustomer.org,24,121.76,5.07
JEANNE,LAWSON,JEANNE.LAWSON@sakilacustomer.org,27,136.73,5.06
TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,32,161.68,5.05
FREDERICK,ISBELL,FREDERICK.ISBELL@sakilacustomer.org,21,105.79,5.04
RAUL,FORTIER,RAUL.FORTIER@sakilacustomer.org,20,100.80,5.04
KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,26,130.74,5.03
GORDON,ALLARD,GORDON.ALLARD@sakilacustomer.org,32,160.68,5.02
RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,39,194.61,4.99
MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,39,194.61,4.99
KENNETH,GOODEN,KENNETH.GOODEN@sakilacustomer.org,17,84.83,4.99
OSCAR,AQUINO,OSCAR.AQUINO@sakilacustomer.org,20,99.80,4.99
DAN,PAINE,DAN.PAINE@sakilacustomer.org,22,109.78,4.99
GUY,BROWNLEE,GUY.BROWNLEE@sakilacustomer.org,32,159.68,4.99
