customer_id,first_name,last_name,email,rental_count,total_amount_spent
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,32,118.68
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,27,128.73
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,26,135.74
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,22,81.78
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,38,144.62
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,28,93.72
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,33,151.67
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,24,92.76
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,23,89.77
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,25,99.75
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,24,106.76
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,28,103.72
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,27,131.73
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,28,117.72
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,32,134.68
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,28,118.72
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,98.79
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,91.78
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,24,125.76
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,30,115.70
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,35,155.65
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,22,113.78
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,30,119.70
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,25,95.75
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,115.71
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,34,152.66
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,126.69
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,111.68
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,36,140.64
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,123.66
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,26,104.74
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,29,127.71
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,21,91.79
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,24,89.76
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,32,129.68
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,27,92.73
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,23,95.77
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,34,127.66
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,29,141.71
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,27,110.73
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,25,118.75
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,30,117.70
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,24,99.76
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,26,114.74
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,27,127.73
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,34,142.66
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,22,108.78
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,17,76.83
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,28,130.72
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,35,169.65
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,33,138.67
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,29,107.71
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,30,115.70
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,29,128.71
55,DORIS,REED,DORIS.REED@sakilacustomer.org,22,100.78
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,30,135.70
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,28,114.72
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,27,115.73
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,27,133.73
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,25,98.75
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,14,58.86
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,23,84.77
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,25,112.75
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,33,100.67
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,22,103.78
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,34,144.66
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,22,99.78
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,22,94.78
