customer_id,first_name,last_name,email,rental_count
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,32
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,27
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,26
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,22
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,38
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,28
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,33
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,24
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,23
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,25
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,24
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,28
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,27
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,28
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,32
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,28
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,24
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,30
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,35
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,22
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,30
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,25
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,34
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,36
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,26
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,29
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,21
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,24
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,32
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,27
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,23
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,34
